IDs,Full Name,Name - add to playernames or editedplayernames table,,,,COMMENT
playerid,,firstname,lastname,jersey,commonname,
27,J. Cole,Joe,Cole,J. Cole,,MEN HERO
41,Iniesta,Andrés,Iniesta Luján,A.Iniesta,Iniesta,MEN ICON
51,A. Shearer,Alan,Shearer,Shearer,,WOMEN HERO
240,R. Keane,Roy,Keane,Keane,,WOMEN ICON
246,P. Scholes,Paul,Scholes,Scholes,,DELETED 25 to 26
250,D. Beckham,David,Beckham,Beckham,,New Player
330,R. Keane,Robbie,Keane,Keane,,Was in 25
488,O. Kahn,Oliver,Kahn,Kahn,,
570,J. Okocha,Jay-Jay,Okocha,Okocha,,
1025,Rui Costa,Rui Manuel,César Costa,Rui Costa,Rui Costa,
1041,J. Zanetti,Javier,Zanetti,J. Zanetti,,
1088,A. Nesta,Alessandro,Nesta,Nesta,,
1114,R. Baggio,Roberto,Baggio,Baggio,,
1116,M. Desailly,Marcel,Desailly,Desailly,,
1179,G. Buffon,Gianluigi,Buffon,Buffon,,
1183,F. Cannavaro,Fabio,Cannavaro,Cannavaro,,
1201,G. Zola,Gianfranco,Zola,Zola,,
1238,F. Totti,Francesco,Totti,Totti,,
1397,Z. Zidane,Zinedine,Zidane,Zidane,,
1551,L. Giuly,Ludovic,Giuly,Giuly,,
1605,R. Pirès,Robert,Pirès,Pires,,
1615,L. Thuram,Lilian,Thuram,Thuram,,
1620,E. Petit,Emmanuel,Petit,Petit,,
1625,T. Henry,Thierry,Henry,Henry,,
1668,C. Makélélé,Claude,Makélélé,Makelele,,
1845,O. Solskjær,Ole Gunnar,Solskjær,Solskjaer,,
3622,Ricardo Carvalho,Ricardo Alberto,Silveira Carvalho,R. Carvalho,Ricardo Carvalho,
4231,Rivaldo,Rivaldo Vítor,Borba Ferreira,Rivaldo,Rivaldo,
4833,H. Stoichkov,Hristo,Stoichkov,Stoichkov,,
5003,Cafu,Marcos,de Morais,Cafu,Cafu,
5419,M. Owen,Michael,Owen,Owen,,
5454,B. Lizarazu,Bixente,Lizarazu,Lizarazu,,
5467,J. Carragher,Jamie,Carragher,Carragher,,
5471,F. Lampard,Frank,Lampard,Lampard,,
5479,Casillas,Iker,Casillas Fernández,Casillas,Casillas,
5589,Luís Figo,Luís Filipe,Madeira Caeiro Figo,Figo,Luís Figo,
5661,Fernando Morientes,Fernando,Morientes Sánchez,Morientes,Fernando Morientes,
5673,J. Litmanen,Jari,Litmanen,Litmanen,,
5679,N. Kanu,Nwankwo,Kanu,Kanu,,
5740,J. Stam,Jaap,Stam,Stam,,
6235,P. Nedvěd,Pavel,Nedvěd,Nedvěd,,
6975,F. Ljungberg,Freddie,Ljungberg,Ljungberg,,
7289,R. Ferdinand,Rio,Ferdinand,Ferdinand,,
7512,H. Crespo,Hernán,Crespo,Crespo,,
7743,L. Donovan,Landon,Donovan,Donovan,,
7763,A. Pirlo,Andrea,Pirlo,Pirlo,,
8348,Míchel Salgado,Miguel Ángel,Salgado Fernández,M.Salgado,Míchel Salgado,
8473,T. Rosický,Tomáš,Rosický,Rosicky,,
9676,S. Eto'o,Samuel,Eto'o,Eto'o,,
10264,R. van Nistelrooy,Ruud,van Nistelrooy,v. Nistelrooy,,
10535,Xavi,Xavier,Hernández Creus,Xavi,Xavi,
10959,P. Aimar,Pablo,Aimar,Aimar,,
13128,A. Shevchenko,Andriy,Shevchenko,Shevchenko,,
13743,S. Gerrard,Steven,Gerrard,Gerrard,,
15723,D. Kuyt,Dirk,Kuyt,Kuyt,,
16254,T. Howard,Tim,Howard,Howard,,
16619,I. Córdoba,Iván,Córdoba,Cordoba,,
20289,Y. Touré,Yaya,Touré,Toure Yaya,,
20775,Quaresma,Ricardo Andrade,Quaresma Bernardo,Quaresma,Quaresma,
23174,J. Riquelme,Juan Román,Riquelme,Roman,,
25924,Capdevila,Joan,Capdevila Méndez,Capdevila,Capdevila,
26709,R. Márquez,Rafael,Márquez,Marquez,,
28130,Ronaldinho,Ronaldo,de Assis Moreira,Ronaldinho,Ronaldinho,
28765,Zé Roberto,José Roberto,da Silva Júnior,Zé Roberto,Zé Roberto,
30110,D. Berbatov,Dimitar,Berbatov,Berbatov,,
31432,D. Drogba,Didier,Drogba,Drogba,,
34079,A. Cole,Ashley,Cole,Cole,,
37576,Ronaldo,Ronaldo Luís,Nazário de Lima,Ronaldo,Ronaldo,
39386,D. Beasley,DaMarcus,Beasley,Beasley,,
40898,S. Govou,Sidney,Govou,Govou,,
41236,Z. Ibrahimović,Zlatan,Ibrahimović,Ibrahimović,,
44897,J. Dudek,Jerzy,Dudek,Dudek,,
45197,Xabi Alonso,Xabier,Alonso Olano,Alonso,Xabi Alonso,
45661,Raúl,Raúl,González Blanco,Raul,Raúl,
45674,M. Essien,Michaël,Essien,Essien,,
48940,P. Čech,Petr,Čech,Cech,,
49369,Fernando Torres,Fernando José,Torres Sanz,Torres,Fernando Torres,
50752,L. King,Ledley,King,King,,
51257,P. Crouch,Peter,Crouch,Crouch,,
51412,T. Cahill,Tim,Cahill,Cahill,,
51539,E. van der Sar,Edwin,van der Sar,van der Sar,,
53302,D. De Rossi,Daniele,De Rossi,De Rossi,,
54050,W. Rooney,Wayne,Rooney,Rooney,,
71557,G. Bale,Gareth,Bale,Bale,,
71587,M. Pichon,Marinette,Pichon,Pichon,,
71608,J. Foudy,Julie,Foudy,Foudy,,
77676,S. Jones,Steffi,Jones,Jones,,
77787,I. Zamorano,Iván,Zamorano,Zamorano,,
77790,Sissi,Sisleide,Lima do Amor,Sissi,Sissi,
120274,A. Di Natale,Antonio,Di Natale,Di Natale,,
121939,P. Lahm,Philipp,Lahm,Lahm,,
121944,B. Schweinsteiger,Bastian,Schweinsteiger,Schweinsteiger,,
135455,Maicon,Maicon,Douglas Sisenando,Maicon,Maicon,
138449,Kaká,Ricardo Izecson,dos Santos Leite,Kaká,Kaká,
138956,G. Chiellini,Giorgio,Chiellini,Chiellini,,
140601,N. Vidić,Nemanja,Vidić,Vidic,,
142754,J. Mascherano,Javier,Mascherano,Mascherano,,
150418,M. Gomez,Mario,Gomez,Gomez,,
155897,C. Dempsey,Clint,Dempsey,Dempsey,,
156353,L. Hernández,Luis,Hernández,Hernández,,
156616,F. Ribéry,Franck,Ribéry,Ribéry,,
161840,Fernando Hierro,Fernando,Hierro Ruiz,Hierro,Fernando Hierro,
166124,G. Hagi,Gheorghe,Hagi,Hagi,,
166149,H. Sánchez,Hugo,Sánchez,Hugo Sanchez,,
166676,R. Völler,Rudi,Völler,Völler,,
166691,Zico,Arthur,Antunes Coimbra,Zico,Zico,
166906,F. Baresi,Franco,Baresi,Baresi,,
167134,J. Papin,Jean-Pierre,Papin,Papin,,
167135,Carlos Alberto,Carlos Alberto,Torres,Carlos Alberto,Carlos Alberto,
167198,E. Cantona,Eric,Cantona,Cantona,,
167425,Abedi Pelé,Abedi,Ayew,Abedi Pelé,Abedi Pelé,
167680,R. Koeman,Ronald,Koeman,Koeman,,
168473,F. Beckenbauer,Franz,Beckenbauer,Beckenbauer,,
168880,M. Noor,Mohammed,Noor,M. Noor,,
168886,S. Al Jaber,Sami,Al Jaber,Al Jaber,,
170733,Gervinho,Gervais,Yao Kouassi,Gervinho,Gervinho,
170890,B. Matuidi,Blaise,Matuidi,Matuidi,,
171877,M. Hamšík,Marek,Hamšík,Hamsik,,
173210,C. Marchisio,Claudio,Marchisio,Marchisio,,
176676,Marcelo,Marcelo,Vieira da Silva,Marcelo,Marcelo,
182521,T. Kroos,Toni,Kroos,Kroos,,
183277,E. Hazard,Eden,Hazard,Hazard,,
184943,Ramires,Ramires,Santos do Nascimen.,Ramires,Ramires,
188428,S. Doumbia,Seydou,Doumbia,Doumbia,,
190042,D. Maradona,Diego Armando,Maradona,Maradona,,
190044,B. Moore,Bobby,Moore,Moore,,
190045,J. Cruyff,Johan,Cruyff,Cruyff,,
190046,Sócrates,Sócrates,Vieira de Oliveira,Sócrates,Sócrates,
190048,G. Müller,Gerd,Müller,Müller,,
191208,Cha Bum Kun,Bum Kun,Cha,Cha Bum Kun,Cha Bum Kun,
191694,J. Campos,Jorge,Campos,Campos,,
191695,Emilio Butragueño,Emilio,Butragueño Santos,Butragueño,Emilio Butragueño,
191972,D. Ginola,David,Ginola,Ginola,,
192181,M. van Basten,Marco,van Basten,van Basten,,
204550,V. Ibarbo,Víctor,Ibarbo,Ibarbo,,
214098,F. Rijkaard,Frank,Rijkaard,Rijkaard,,
214100,R. Gullit,Ruud,Gullit,Gullit,,
214101,Paulo Futre,Paulo Jorge,dos Santos Futre,Paulo Futre,Paulo Futre,
214267,G. Lineker,Gary,Lineker,Lineker,,
214649,D. Šuker,Davor,Šuker,Suker,,
222000,M. Laudrup,Michael,Laudrup,Laudrup,,
226293,N. Angerer,Nadine,Angerer,Angerer,,
226301,A. Morgan,Alex,Morgan,Morgan,,
226306,C. Šašić,Celia,Šašić,Sasic,,
226307,S. Laudehr,Simone,Laudehr,Laudehr,,
226362,L. Necib,Louisa,Necib,Necib,,
226369,L. Schelin,Lotta,Schelin,Schelin,,
226373,N. Keßler,Nadine,Keßler,Keßler,,
226764,G. Best,George,Best,Best,,
226975,C. Seger,Caroline,Seger,Seger,,
227002,A. Miyama,Aya,Miyama,Miyama,,
227006,H. Sawa,Homare,Sawa,Sawa,,
227261,A. Scott,Alex,Scott,Scott,,
227262,J. Scott,Jill,Scott,Scott,,
227263,K. Smith,Kelly,Smith,Smith,,
227271,F. Williams,Fara,Williams,Williams,,
227315,L. Georges,Laura,Georges,Georges,,
227324,C. Abily,Camille,Abily,Abily,,
230025,B. Charlton,Bobby,Charlton,Charlton,,
233700,G. Vialli,Gianluca,Vialli,Vialli,,
237067,Pelé,Edson,Arantes Nascimento,Pelé,Pelé,
238380,L. Yashin,Lev,Yashin,Yashin,,
238382,A. Del Piero,Alessandro,Del Piero,Del Piero,,
238384,Carles Puyol,Carles,Puyol Saforcada,Puyol,Carles Puyol,
238388,D. Bergkamp,Dennis,Bergkamp,Bergkamp,,
238424,P. Kluivert,Patrick,Kluivert,Kluivert,,
238427,P. Vieira,Patrick,Vieira,Vieira,,
238428,P. Schmeichel,Peter,Schmeichel,Schmeichel,,
238430,Roberto Carlos,Roberto Carlos,da Silva Rocha,R. Carlos,Roberto Carlos,
238435,L. Matthäus,Lothar,Matthäus,Matthäus,,
238439,P. Maldini,Paolo,Maldini,Maldini,,
238443,L. Blanc,Laurent,Blanc,Blanc,,
239261,H. Larsson,Henrik,Larsson,Larsson,,
242510,M. Klose,Miroslav,Klose,Klose,,
242519,Eusébio,Eusébio,da Silva Ferreira,Eusébio,Eusébio,
242625,H. Nakata,Hidetoshi,Nakata,Nakata,,
243027,J. Verón,Juan Sebastián,Verón,Veron,,
243029,S. Campbell,Sol,Campbell,Campbell,,
243030,G. Gattuso,Gennaro,Gattuso,Gattuso,,
247515,J. Barnes,John,Barnes,Barnes,,
247553,Garrincha,Manuel,Franc. dos Santos,Garrincha,Garrincha,
247699,K. Dalglish,Kenny,Dalglish,Dalglish,,
247703,I. Rush,Ian,Rush,Rush,,
248146,I. Wright,Ian,Wright,Wright,,
250890,G. Zambrotta,Gianluca,Zambrotta,Zambrotta,,
251483,V. Kompany,Vincent,Kompany,Kompany,,
254642,F. Puskás,Ferenc,Puskás,Puskás,,
261593,J. Kohler,Jürgen,Kohler,Kohler,,
262112,R. van Persie,Robin,van Persie,v. Persie,,
262271,D. Milito,Diego,Milito,Milito,,
262285,Guti,José María,Gutiérrez Hernández,Guti,Guti,
266473,Park Ji Sung,Ji Sung,Park,Park Ji Sung,Park Ji Sung,
