teamid,teamname_cn,teamname_en
1,阿森纳,
2,阿斯顿维拉,
3,布莱克本,
4,博尔顿,
5,切尔西,
7,埃弗顿,
8,利兹联,
9,利物浦,
10,曼彻斯特城,
11,曼彻斯特联,
12,米德尔斯堡,
13,纽卡斯尔联,
14,诺丁汉森林,
15,女王公园巡游者,
17,南安普顿,
18,托特纳姆热刺,
19,西汉姆联,
21,拜仁慕尼黑,
22,多特蒙德,
23,门兴格拉德巴赫,
25,弗赖堡,
28,汉堡,
31,科隆,
32,勒沃库森,
34,沙尔克04,
36,斯图加特,
38,云达不莱梅,
39,亚特兰大,
44,国际米兰,
45,尤文图斯,
46,拉齐奥,
47,AC米兰,
48,那不勒斯,
50,帕尔马,
52,罗马,
54,都灵,
55,乌迪内斯,
57,欧塞尔,
59,波尔多,
62,甘冈,
64,朗斯,
65,里尔,
66,里昂,
68,梅斯,
69,摩纳哥,
70,蒙彼利埃,
71,南特,
72,尼斯,
73,巴黎圣日耳曼,
74,雷恩,
76,斯特拉斯堡,
78,凯尔特人,
86,格拉斯哥流浪者,
88,伯明翰,
91,德比郡,
94,伊普斯维奇,
95,莱斯特城,
97,米尔沃尔,
109,西布罗姆维奇,
110,狼队,
144,富勒姆,
159,比勒费尔德,
160,波鸿,
165,菲尔特,
166,柏林赫塔,
169,美因茨,
171,纽伦堡,
175,沃尔夫斯堡,
189,博洛尼亚,
190,布雷西亚,
191,萨尔茨堡红牛,
192,切沃,
199,佩鲁贾,
200,佩斯卡拉,
205,威尼斯,
206,维罗纳,
210,卡昂,
212,沙托鲁,
217,洛里昂,
219,马赛,
224,尼姆,
226,索肖,
229,安德莱赫特,
231,布鲁日,
232,标准列日,
234,本菲卡,
236,波尔图,
237,里斯本竞技,
240,马德里竞技,
241,巴塞罗那,
242,拉科鲁尼亚,
243,皇家马德里,
244,萨拉戈萨,
245,阿贾克斯,
246,费耶诺德,
247,埃因霍温,
254,维也纳快速,
260,特内里费,
269,布隆德比,
294,特鲁瓦,
320,马尔默FF,
325,加拉塔萨雷,
326,费内巴切,
327,贝西克塔斯,
347,莱切,
378,布雷斯特,
379,兰斯,
433,AIK索尔纳,
436,特拉布宗,
448,毕尔巴鄂竞技,
449,皇家贝蒂斯,
450,塞尔塔,
452,西班牙人,
453,马洛卡,
457,皇家社会,
459,希洪竞技,
461,瓦伦西亚,
462,巴拉多利德,
463,阿拉维斯,
467,埃瓦尔,
